3123;Электросила;Санкт-Петербург, ул. Ленина, 1;+7-812-123-4567;info@electrosila.ru;Поставка трансформаторов;14 дней;1 шт.
1231;Энергомаш;Москва, ул. Пушкина, 10;+7-495-987-6543;sales@energomash.ru;Дизельные генераторы;10 дней;2 шт.
1242;ТехноКомплект;Екатеринбург, ул. Мира, 5;+7-343-456-7890;tech@technocomplect.ru;Кабели и провода;5 дней;50
2131;ЭлектроМир;Новосибирск, ул. Гагарина, 15;+7-383-123-4567;sales@electromir.ru;Светильники и лампы;7 дней;10 шт.
2312;Силовые машины;Казань, ул. Баумана, 20;+7-843-987-6543;power@powermachines.ru;Электродвигатели;21 день;1 шт.
5142;Электротехника;Нижний Новгород, ул. Горького, 7;+7-831-456-7890;info@electrotech.ru;Реле и автоматика;3 дня;5 шт.
1512;ЭнергоСервис;Самара, ул. Куйбышева, 12;+7-846-123-4567;service@energoservice.ru;Сервисное обслуживание;По запросу;5 шт.
5123;КабельЭнерго;Ростов-на-Дону, ул. Садовая, 3;+7-863-987-6543;sales@cableenergy.ru;Кабельная продукция;7 дней;50 шт.
5134;ЭлектроСнаб;Уфа, ул. Ленина, 8;+7-347-456-7890;supply@electrosnab.ru;Комплектующие для подстанций;14 дней;1 шт.
6312;ЭнергоТехнологии;Воронеж, ул. Кирова, 14;+7-473-123-4567;tech@energotech.ru;Инверторы и преобразователи;10 дней;1 шт.
5123;ЭлектроПрофи;Краснодар, ул. Красная, 22;+7-861-987-6543;info@electroprofi.ru;Щитовое оборудование;12 дней;1 шт.
5122;ЭнергоСистемы;Тюмень, ул. Республики, 30;+7-345-456-7890;systems@energosystems.ru;Системы управления;20 дней;1 шт.
1912;ЭлектроМастер;Иркутск, ул. Декабрьских Событий, 5;+7-395-123-4567;master@electromaster.ru;Ремонт оборудования;По запросу;2 шт.
5912;ЭнергоКомплект;Омск, ул. Лермонтова, 12;+7-381-987-6543;komplekt@energokomplekt.ru;Комплектующие для ЛЭП;14 дней;5 шт.
5011;ЭлектроСвет;Томск, ул. Советская, 8;+7-382-456-7890;svet@electrosvet.ru;Светотехническое оборудование;7 дней;5 шт.
5181;ЭнергоПроект;Челябинск, ул. Цвиллинга, 10;+7-351-123-4567;project@energoproject.ru;Проектирование подстанций;30 дней;25 шт.
9192;ЭлектроСила;Владивосток, ул. Светланская, 15;+7-423-987-6543;info@electrosila-vl.ru;Поставка трансформаторов;21 день;1 шт.
1024;ЭнергоСнаб;Калининград, ул. Гагарина, 5;+7-401-456-7890;supply@energosnab.ru;Комплектующие для сетей;10 дней;10 шт.
8120;ЭлектроТех;Сочи, ул. Навагинская, 7;+7-862-123-4567;tech@electrotech-sochi.ru;Электротехническое оборудование;7 дней;1 шт.
1021;ЭнергоМир;Хабаровск, ул. Ленина, 20;+7-421-987-6543;mir@energomir.ru;Солнечные панели и инверторы;14 дней;1 шт.
